barcode,sample_id,reads
TCGA-OR-A5JQ-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_AGTTCC_L007,68540224
TCGA-OR-A5J8-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_TGACCA_L005,64652822
TCGA-OR-A5JK-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_GTGGCC_L004,55047933
TCGA-OR-A5LK-01A-11R-A29S-07,130730_UNC13-SN749_0297_AD2BM6ACXX_CAGATC_L007,32986732
TCGA-OR-A5L5-01A-11R-A29S-07,130730_UNC13-SN749_0297_AD2BM6ACXX_AGTTCC_L005,62418603
TCGA-OR-A5JB-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_ATCACG_L003,56473218
TCGA-OR-A5LA-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_TAGCTT_L008,59604835
TCGA-OR-A5KT-01A-11R-A29S-07,130730_UNC13-SN749_0297_AD2BM6ACXX_AGTTCC_L003,27071906
TCGA-OR-A5JI-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_ACAGTG_L006,56520293
TCGA-OR-A5LP-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_GTTTCG_L001,73432480
TCGA-OR-A5JO-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_GATCAG_L005,49769522
TCGA-PA-A5YG-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_GTGGCC_L002,72678194
TCGA-OR-A5J6-01A-31R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_CTTGTA_L004,56733232
TCGA-OR-A5K1-01A-11R-A29S-07,130730_UNC13-SN749_0297_AD2BM6ACXX_TGACCA_L001,37320184
TCGA-PK-A5HA-01A-11R-A29S-07,130806_UNC13-SN749_0298_BC2E3KACXX_CAGATC_L001,67761918
TCGA-OR-A5LN-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_ACTTGA_L001,52681266
