#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	29	4	137.9310344827586	1.13782049303205	0.1792360086404131
IGHM	9	1	111.1111111111111	0.0	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	0	0	NA	NA	NA
IGHA1	14	1	71.42857142857143	0.0	NA
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	209	39	186.60287081339712	3.1479637200611212	0.1407367954660259
IGL	143	29	202.79720279720277	2.8661880098828774	0.14881609618053948
TRA	17	10	588.2352941176471	2.033662343665036	0.11679166609184033
TRB	28	12	428.57142857142856	2.161671703394149	0.13007931159966446
TRG	7	1	142.85714285714286	0.0	NA
TRD	0	0	NA	NA	NA
