#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	17	2	117.6470588235294	0.605797499372304	0.12601895187264212
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	17	2	117.6470588235294	0.605797499372304	0.12601895187264212
IGHA1	0	0	NA	NA	NA
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	4	3	750.0	1.0397207708399179	0.05360536964281404
IGL	15	2	133.33333333333334	0.24493002679463532	0.6466406649785787
TRA	1	1	1000.0	0.0	NA
TRB	0	0	NA	NA	NA
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
