#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	4204	63	14.985727878211227	2.90619594438977	0.29855142632039766
IGHM	32	2	62.5	0.5623351446188083	0.18872187554086717
IGHD	0	0	NA	NA	NA
IGHG3	1	1	1000.0	0.0	NA
IGHG1	3659	46	12.57174091281771	2.582000866248159	0.3256091132964605
IGHA1	352	4	11.363636363636363	1.332011987962653	0.03915645528081535
IGHG2	57	5	87.71929824561403	1.1922686738021506	0.2592018215856655
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	5387	171	31.743085205123442	3.4054750366526765	0.33767058088704127
IGL	9270	146	15.74973031283711	2.421239999843483	0.5141590852502914
TRA	21	12	571.4285714285714	2.334549109212565	0.06050832556959951
TRB	145	32	220.68965517241378	2.733648142738815	0.2112358761870773
TRG	5	2	400.0	0.6730116670092565	0.029049405545331197
TRD	0	0	NA	NA	NA
