#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	155	5	32.25806451612903	0.8206085902115697	0.490127215301839
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	144	2	13.888888888888888	0.5382674532283414	0.22344421455553987
IGHA1	4	2	500.0	0.6931471805599453	0.0
IGHG2	7	1	142.85714285714286	0.0	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	741	71	95.81646423751687	2.906697024409011	0.3181057202853992
IGL	456	58	127.19298245614036	3.4542972304123314	0.1492807012830154
TRA	1	1	1000.0	0.0	NA
TRB	9	7	777.7777777777778	1.8310204811135165	0.05904160991070051
TRG	2	1	500.0	0.0	NA
TRD	0	0	NA	NA	NA
