#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	272	39	143.38235294117646	3.2530189307194224	0.11206109110895945
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	0	0	NA	NA	NA
IGHA1	231	30	129.87012987012986	3.015819303223568	0.1133065903544399
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	30	5	166.66666666666666	1.3479100982119798	0.16249636733521955
IGK	893	176	197.08846584546473	4.483605047748452	0.13284616062033294
IGL	845	155	183.4319526627219	4.597807775444202	0.08835609355636642
TRA	1	1	1000.0	0.0	NA
TRB	1	1	1000.0	0.0	NA
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
