#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	113	11	97.34513274336283	2.07893538466238	0.13301660491776224
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	82	6	73.17073170731707	1.5567061554233463	0.1311857522404929
IGHA1	23	4	173.91304347826087	1.007732512309476	0.2730746509742713
IGHG2	0	0	NA	NA	NA
IGHG4	8	1	125.0	0.0	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	688	68	98.83720930232558	2.9961861727078283	0.28992044047404375
IGL	319	38	119.12225705329153	3.035437162219718	0.16553532234462875
TRA	6	4	666.6666666666666	1.329661348854758	0.04085208297275533
TRB	20	13	650.0	2.3592662340892545	0.08018993543632436
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
