#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	1	1	1000.0	0.0	NA
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	0	0	NA	NA	NA
IGHA1	0	0	NA	NA	NA
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	8	7	875.0	1.9061547465398496	0.020430235452938983
IGL	58	7	120.6896551724138	1.0934187119537888	0.43809393641088
TRA	9	7	777.7777777777778	1.8891591637540217	0.029164237274183824
TRB	8	6	750.0	1.6674619334292948	0.06937177558342211
TRG	2	2	1000.0	0.6931471805599453	0.0
TRD	0	0	NA	NA	NA
