#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	10108	78	7.7166600712307085	2.108887929571815	0.5159447157329916
IGHM	794	18	22.670025188916874	1.5139126510131358	0.4762221686960164
IGHD	0	0	NA	NA	NA
IGHG3	4	2	500.0	0.5623351446188083	0.18872187554086717
IGHG1	7374	34	4.6107946840249525	1.4099144936968668	0.6001785739561234
IGHA1	91	4	43.956043956043956	0.9517803667465705	0.31343559243962194
IGHG2	82	2	24.390243902439025	0.47580267999927905	0.3135618331233617
IGHG4	5	1	200.0	0.0	NA
IGHE	0	0	NA	NA	NA
IGHA2	18	2	111.1111111111111	0.2145591551764051	0.6904565708496748
IGK	5100	107	20.980392156862745	1.915498979810312	0.5900772213859853
IGL	14386	145	10.079243709161684	1.9256292316594223	0.6130736882212955
TRA	30	20	666.6666666666666	2.8754478444593765	0.04015192884773866
TRB	114	44	385.96491228070175	3.2039836022597727	0.15332371994733407
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
