#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	980	106	108.16326530612245	3.934769116651374	0.15625163377402995
IGHM	14	1	71.42857142857143	0.0	NA
IGHD	23	1	43.47826086956522	0.0	NA
IGHG3	0	0	NA	NA	NA
IGHG1	0	0	NA	NA	NA
IGHA1	667	55	82.45877061469265	3.1788720471756333	0.2067362756632819
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	239	35	146.44351464435147	3.3190926215141907	0.06645072040464306
IGK	2868	509	177.4755927475593	5.436232573515858	0.1277532425333162
IGL	2285	425	185.9956236323851	5.483957606164315	0.09387362725540782
TRA	6	6	1000.0	1.7917594692280547	1.1102230246251565e-16
TRB	27	13	481.48148148148147	2.0936392788476312	0.18375024724868205
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
