#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	2	1	500.0	0.0	NA
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	0	0	NA	NA	NA
IGHA1	2	1	500.0	0.0	NA
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	58	17	293.10344827586204	2.4180543228370404	0.14653291891700837
IGL	4	2	500.0	0.6931471805599453	0.0
TRA	3	2	666.6666666666666	0.6365141682948128	0.08170416594551055
TRB	18	7	388.8888888888889	1.347974960012722	0.30727790249353115
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
