#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	179	5	27.932960893854748	0.7960504414539349	0.5053860510530692
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	178	5	28.089887640449437	0.7874747557299194	0.5107144241812042
IGHA1	0	0	NA	NA	NA
IGHG2	1	1	1000.0	0.0	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	348	40	114.94252873563218	2.8725088510402133	0.22130584998197345
IGL	462	25	54.112554112554115	0.8909743019930646	0.7232032701884217
TRA	87	12	137.9310344827586	1.0075063486883595	0.5945496186851467
TRB	245	26	106.12244897959184	1.711408938539867	0.4747212310721952
TRG	2	1	500.0	0.0	NA
TRD	0	0	NA	NA	NA
