#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	15714	32	2.036400661830215	1.763207372862235	0.4912458934225592
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	15485	29	1.8727801097836616	1.704095856096738	0.4939274889597143
IGHA1	0	0	NA	NA	NA
IGHG2	168	1	5.952380952380952	0.0	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	18044	145	8.035912214586567	1.7854914773345825	0.6412322680404923
IGL	19462	133	6.8338300277463775	1.0478859568073815	0.7857236918402966
TRA	24	19	791.6666666666666	2.8314802400679735	0.03836341656176723
TRB	105	34	323.80952380952385	2.2594890218827115	0.3592575103679585
TRG	1	1	1000.0	0.0	NA
TRD	0	0	NA	NA	NA
