#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	10082	235	23.30886728823646	4.442664604367625	0.18626339071748121
IGHM	62	1	16.129032258064516	0.0	NA
IGHD	0	0	NA	NA	NA
IGHG3	147	1	6.802721088435374	0.0	NA
IGHG1	8866	209	23.573200992555833	4.303216207259759	0.1945063703797425
IGHA1	308	5	16.233766233766232	0.8721106010731625	0.4581272167534628
IGHG2	72	5	69.44444444444444	0.9586771442718761	0.4043403993000383
IGHG4	5	1	200.0	0.0	NA
IGHE	0	0	NA	NA	NA
IGHA2	5	2	400.0	0.6730116670092565	0.029049405545331197
IGK	10368	263	25.366512345679013	4.25995610815709	0.23549204067997165
IGL	14654	311	21.22287430053228	3.748210670216072	0.346978065661086
TRA	9	6	666.6666666666666	1.6769877743224175	0.06405530255413394
TRB	9	5	555.5555555555555	1.4270610433807247	0.11331711999846605
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
