#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	1029	73	70.94266277939747	3.5403869251216262	0.1748233554740234
IGHM	114	7	61.40350877192982	1.6252002960909435	0.16481226182003605
IGHD	0	0	NA	NA	NA
IGHG3	9	1	111.1111111111111	0.0	NA
IGHG1	680	37	54.411764705882355	2.9637217257409607	0.17923314862323492
IGHA1	93	7	75.26881720430107	1.4397603556902527	0.2601095398010964
IGHG2	78	2	25.64102564102564	0.23810973994596282	0.6564802589925987
IGHG4	10	3	300.0	0.9433483923290391	0.14132728892674518
IGHE	0	0	NA	NA	NA
IGHA2	2	1	500.0	0.0	NA
IGK	2703	276	102.10876803551609	4.776578500484444	0.1501356193967912
IGL	1982	149	75.17658930373359	4.0359565187075574	0.1934452785969707
TRA	19	7	368.4210526315789	1.5842575694680152	0.18585266116365684
TRB	35	12	342.85714285714283	2.2358099035938177	0.1002439050237297
TRG	1	1	1000.0	0.0	NA
TRD	0	0	NA	NA	NA
