#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	32	5	156.25	1.2702633271436283	0.21074101875573892
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	29	3	103.44827586206897	0.9925086555080169	0.09657968898994063
IGHA1	0	0	NA	NA	NA
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	191	40	209.4240837696335	2.9877884063925517	0.19005528818229855
IGL	106	23	216.9811320754717	2.541598713516619	0.18941049209894323
TRA	24	13	541.6666666666666	2.3588541388940216	0.08035059950325185
TRB	29	15	517.2413793103449	2.312302744454189	0.14613741521000867
TRG	1	1	1000.0	0.0	NA
TRD	0	0	NA	NA	NA
