#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	124	7	56.45161290322581	1.4519161895109758	0.2538626769505047
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	61	2	32.786885245901644	0.28354789297103483	0.5909268609561735
IGHA1	51	3	58.8235294117647	0.8370496642627052	0.23808456095326136
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	129	35	271.3178294573643	3.0081668465042064	0.15390369818137606
IGL	198	22	111.1111111111111	1.9945327733311529	0.35473782601589354
TRA	8	6	750.0	1.7328679513998633	0.03286798191364604
TRB	7	6	857.1428571428571	1.7478680974667573	0.024496240993891583
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
