#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	28	2	71.42857142857143	0.25731864054383163	0.6287676733591243
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	28	2	71.42857142857143	0.25731864054383163	0.6287676733591243
IGHA1	0	0	NA	NA	NA
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	163	23	141.1042944785276	2.4222067928196362	0.22748803665011486
IGL	46	13	282.6086956521739	2.3471180312019397	0.08492617042356698
TRA	1	1	1000.0	0.0	NA
TRB	0	0	NA	NA	NA
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
