#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	198	18	90.9090909090909	2.1947862868428007	0.2406560571847216
IGHM	46	6	130.43478260869566	1.4661935200985914	0.18170181585239642
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	20	3	150.0	0.818808456222877	0.25468842405217385
IGHA1	11	4	363.6363636363636	1.2945451658448959	0.06618305451439399
IGHG2	106	4	37.73584905660377	0.8210163972354184	0.4077618576099693
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	808	111	137.3762376237624	3.1364092555060346	0.33402927225478696
IGL	207	60	289.8550724637681	3.431195261730256	0.16196714526926315
TRA	3	3	1000.0	1.0986122886681096	2.220446049250313e-16
TRB	2	2	1000.0	0.6931471805599453	0.0
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
