#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	3	2	666.6666666666666	0.6365141682948128	0.08170416594551055
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	2	1	500.0	0.0	NA
IGHA1	1	1	1000.0	0.0	NA
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	20	10	500.0	2.137793249693829	0.07156818820794952
IGL	9	6	666.6666666666666	1.6769877743224175	0.06405530255413394
TRA	12	6	500.0	1.6326309271543518	0.08881133031894095
TRB	7	6	857.1428571428571	1.7478680974667573	0.024496240993891583
TRG	2	2	1000.0	0.6931471805599453	0.0
TRD	0	0	NA	NA	NA
