#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	58	5	86.20689655172414	1.1699834374543634	0.2730484174534634
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	57	5	87.71929824561403	1.1762435332295371	0.26915880125465896
IGHA1	0	0	NA	NA	NA
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	56	9	160.71428571428572	1.6084033778953761	0.26798407660026
IGL	213	19	89.2018779342723	1.9877630486367637	0.32490940966978643
TRA	2	2	1000.0	0.6931471805599453	0.0
TRB	0	0	NA	NA	NA
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
