#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	0	0	NA	NA	NA
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	0	0	NA	NA	NA
IGHA1	0	0	NA	NA	NA
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	5	4	800.0	1.3321790402101223	0.039035952556318754
IGL	7	2	285.7142857142857	0.5982695885852573	0.1368794314333689
TRA	14	9	642.8571428571429	1.8711604142318068	0.14839819582744385
TRB	19	15	789.4736842105264	2.5209026864206248	0.0691078454178633
TRG	1	1	1000.0	0.0	NA
TRD	0	0	NA	NA	NA
