#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	1	1	1000.0	0.0	NA
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	0	0	NA	NA	NA
IGHA1	0	0	NA	NA	NA
IGHG2	1	1	1000.0	0.0	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	25	9	360.0	1.9112880638492062	0.13013531545039658
IGL	6	4	666.6666666666666	1.242453324894	0.10375937481971109
TRA	10	5	500.0	1.3592367006650063	0.15545875354128558
TRB	30	10	333.3333333333333	1.7537489861724005	0.23835649266190428
TRG	2	2	1000.0	0.6931471805599453	0.0
TRD	0	0	NA	NA	NA
